num_sorteo;fecha_sorteo;num_1;num_2;num_3;num_4;num_5;num_6;sum_num;promedio;minimo;maximo;rango;desviacion_estandar;mediana;dia_semana;mes_sorteo;año_sorteo
240;6/08/2003;1;3;7;12;40;45;108;18;1;45;44;19,41133689;9,5;6;8;2003
241;9/08/2003;3;9;16;17;37;44;126;21;3;44;41;16,08726204;16,5;9;8;2003
242;13/08/2003;5;16;22;26;27;44;140;23,33333333;5;44;39;12,95633693;24;13;8;2003
243;16/08/2003;7;18;23;30;31;37;146;24,33333333;7;37;30;10,76413799;26,5;16;8;2003
244;20/08/2003;8;11;15;16;42;43;135;22,5;8;43;35;15,75753788;15,5;20;8;2003
245;23/08/2003;4;6;26;36;37;38;147;24,5;4;38;34;15,71941475;31;23;8;2003
246;27/08/2003;2;11;16;18;20;42;109;18,16666667;2;42;40;13,33291666;17;27;8;2003
247;30/08/2003;7;8;9;14;32;42;112;18,66666667;7;42;35;14,74675105;11,5;30;8;2003
248;3/09/2003;14;15;16;19;23;29;116;19,33333333;14;29;15;5,750362307;17,5;3;9;2003
249;6/09/2003;2;3;24;32;42;44;147;24,5;2;44;42;18,5013513;28;6;9;2003
250;10/09/2003;6;9;10;21;28;31;105;17,5;6;31;25;10,63484838;15,5;10;9;2003
251;13/09/2003;6;18;22;27;37;40;150;25;6;40;34;12,58570618;24,5;13;9;2003
252;17/09/2003;19;20;26;41;42;44;192;32;19;44;25;11,61034022;33,5;17;9;2003
253;20/09/2003;8;14;18;22;28;40;130;21,66666667;8;40;32;11,27238514;20;20;9;2003
254;24/09/2003;10;21;24;26;30;44;155;25,83333333;10;44;34;11,17884908;25;24;9;2003
255;27/09/2003;2;7;9;17;28;41;104;17,33333333;2;41;39;14,7331825;13;27;9;2003
256;1/10/2003;3;4;6;14;15;25;67;11,16666667;3;25;22;8,471520918;10;1;10;2003
257;4/10/2003;21;23;27;33;40;45;189;31,5;21;45;24;9,586448769;30;4;10;2003
258;8/10/2003;7;20;33;36;39;42;177;29,5;7;42;35;13,39776101;34,5;8;10;2003
259;11/10/2003;6;12;21;32;36;43;150;25;6;43;37;14,4222051;26,5;11;10;2003
260;15/10/2003;3;4;11;27;35;38;118;19,66666667;3;38;35;15,64182428;19;15;10;2003
261;18/10/2003;2;10;12;18;29;42;113;18,83333333;2;42;40;14,48332374;15;18;10;2003
262;22/10/2003;11;27;32;39;42;45;196;32,66666667;11;45;34;12,50066665;35,5;22;10;2003
263;25/10/2003;3;10;12;21;23;28;97;16,16666667;3;28;25;9,368386556;16,5;25;10;2003
264;29/10/2003;3;21;28;30;32;38;152;25,33333333;3;38;35;12,2583305;29;29;10;2003
265;1/11/2003;10;21;22;24;25;44;146;24,33333333;10;44;34;11,03932365;23;1;11;2003
266;5/11/2003;15;19;31;32;39;43;179;29,83333333;15;43;28;10,96205577;31,5;5;11;2003
267;8/11/2003;1;11;14;16;17;18;77;12,83333333;1;18;17;6,306081721;15;8;11;2003
268;12/11/2003;1;7;8;19;29;34;98;16,33333333;1;34;33;13,20101006;13,5;12;11;2003
269;15/11/2003;3;4;17;20;23;30;97;16,16666667;3;30;27;10,72225101;18,5;15;11;2003
270;19/11/2003;4;12;13;25;38;42;134;22,33333333;4;42;38;15,29269978;19;19;11;2003
271;22/11/2003;5;7;12;14;35;43;116;19,33333333;5;43;38;15,78184611;13;22;11;2003
272;26/11/2003;10;24;29;40;42;44;189;31,5;10;44;34;13,1415372;34,5;26;11;2003
273;29/11/2003;2;25;30;33;43;45;178;29,66666667;2;45;43;15,56491782;31,5;29;11;2003
274;3/12/2003;2;5;10;31;35;41;124;20,66666667;2;41;39;16,93123347;20,5;3;12;2003
